cantidad,Producto,Referencia,codigo,Compuesto,Uso,Aplicacion,Marca
50,KITS DE CADENA DE DISTRIBUCIN,M012/DZ012/TK-MZ002/M012,07I01822,X10 UNIDADES ASI= 4 GUIAS DE CADENA /3 PIONES /2 CADENAS /1 TENSOR,AUTOMOTRIZ, MAZDA 6 2.3 / TODOS,NES
40,KITS DE CADENA DE DISTRIBUCIN,TK-SZ004/DZ004/TK-SZ004/TK-SZ004,04I01516,X6 UNIDADES ASI= 3 GUIAS DE CADENA /1 PION /1 CADENA /1 TENSOR,AUTOMOTRIZ, CHEVROLET ALTO / TODOS,NES
50,KITS DE CADENA DE DISTRIBUCIN,S601K/DZ001/TK-SZ001/S601K,04I012652,X12 UNIDADES ASI= 3 GUIAS DE CADENA /4 PIONES /2 CADENAS /2 TENSORES /1 EMPAQUE METALICO,AUTOMOTRIZ, CHEVROLET GRAND VITARA 2.0 J18/J20A / TODOS,NES
50,KITS DE CADENA DE DISTRIBUCIN,TKSU607801G/DZ002/TK-SZ002/TKSU607801G,04I011178,X17 UNIDADES ASI= 6 GUIAS DE CADENA /5 PIONES /3 CADENAS /3 TENSORES ,AUTOMOTRIZ, CHEVROLET GRAND VITARA 2 .5/XL7 2.7 / TODOS,NES
30,KITS DE CADENA DE DISTRIBUCIN,G601-12-800/DZ008/TK-MZ008/G601-12-800,03I01695,X11 UNIDADES ASI= 5 GUIAS DE CADENA /3PIONES /2 CADENAS /1 TENSOR,AUTOMOTRIZ,EN MOTORES D E VEHICULOS MAZDA B2600/BT 50 GAS. ( / TODOS,NES
50,KITS DE CADENA DE DISTRIBUCIN,M013/DZ013/TK-MZ001/M013,03I01709,X11 UNIDADES ASI= 4 GUIAS DE CADENA /4 PIONES /2 CADENAS /1 TENSOR,AUTOMOTRIZ, MAZDA 3.2.0/MAZDA 6 2.0 / TODOS,NES
50,KITS DE CADENA DE DISTRIBUCIN,TK-SZ007/DZ007/TK-SZ007/TK-SZ007,04I012389,X20 UNIDADES ASI= 6 GUIAS DE CADENA /8 PIONES /3 CADENAS /3 TEN SORES,AUTOMOTRIZ, CHEVROLET GRAND VITARA SZ 2.7 / TODOS,NES
50,KITS DECADENA DE DISTRIBUCIN,M015/DZ015/TK-MZ015/M015,03I01708,X6 UNIDADES ASI= 2 GUIAS DE CADENA /2 PIONES  /1 CADENA /1 TENSOR,AUTOMOTRIZ, MAZDA 2/MAZDA 3 1.6 / TODOS,NES
50,KITS DE CADENA DE DISTRIBUCIN,24518550/DV035-1/TK-CV035-1/24518550,04I012638,X7 UNIDADES ASI= 2 GUIAS D E CADENA /3 PIONES /1 CADENA /1 TENSOR,AUTOMOTRIZ, CHEVROLET N200/N300 / TODOS,NES
50,KITS DE CADENA DE DISTRIBUCIN,9025266/DV033/TK-CV033/9025266,04I012640,X7 UNIDADES A SI= 2 GUIAS DE CADENA /3 PIONES /1 CADENA /1TENSOR,AUTOMOTRIZ, CHEVROLET SAIL 1.4 / TODOS,NES
20,KITS DE CADENA DE DISTRIBUCIN,DS023//TK-NS023/DS023,10I01033,X6 UNIDADES   ASI= 2 GUIAS DE CADENA /2 PIONES /1 CADENA /1 TENSOR,AUTOMOTRIZ, NISSAN FRONTIER URVAN DIESEL ZD30 / TODOS,NES
20,KITS DE CADENA DE DISTRIBUCIN,DY006//TK-TY006S/DY006,10I01035,COMPU  ESTO X16 UNIDADES ASI= 2 GUIAS DE CADENA /4 TORNILLOS /2 PIONES /5 EMPAQUES DE PAPEL /1 RETEN /1 CADENA /1 TENSOR,AUTOMOTRIZ, TOYOTA HILUX 22R / TODOS,NES
100,KITS DE CADENADE DISTRIBUCIN,KIT-3066N/DS027-1/TK-NS027-1/3066N,10I01017,X10 UNIDADES ASI= 3 GUIAS DE CADENA /4 PIONES /2 CADENAS /1 TENSOR,AUTOMOTRIZ, NISSAN MARCH/NOTE 1.6 / TODOS,NES
20,KITS DE CADENA DE DIST RIBUCIN,DS019//TK-NS019/DS019,10I01034,X8 UNIDADES ASI= 3 GUIAS DE CADENA /3 PIONES /1 CADENA /1 PION,AUTOMOTRIZ, NISSAN SENTRA B15X/ALMERA N16 QG18 / TODOS,NES
20,KITS DE CADENA DE DISTRIBUCIN,DZ016//TK-MZ016/DZ016,03I01899,X7 UNIDADES ASI= 4 GUIAS DE CADENA /2 CADENAS /1 TENSOR,AUTOMOTRIZ, MAZDA CX-7 / TODOS,NES
20,KITS DE CADENA DE DISTR IBUCIN,DY017V//TK-TY017-V/DY017V,10I01036,X14 UNIDADES ASI= 3 GUIAS DE CADENA /5 PIONES /2 CADENAS /1 TORNILLO /1 RETEN /1 EMPAQUE METALICO /1 TENSOR,AUTOMOTRIZ, TOYOTA RAV41AZ-FE/2AZ-FE / TODOS   ,NES
20,KITS DE CADENA DE DISTRIBUCIN,DS020-1//TK-NS020/DS020-1,10I01041,X9 UNIDADES ASI= 4 GUIAS DE CADENA /2 PIONES /2 CADENAS /1 TENSOR,AUTOMOTRIZ, NISSAN X-TRAIL T30/  T31 QR25DE / TODOS,NES
20,KITS DE CADENA DEDISTRIBUCIN,DS033-1//TK-NS033-1/DS033-1,10I01039,X16 UNIDADES ASI= 7 GUIAS DE CADENA /4 PIONES /2 CADENAS /1 RETEN /2 TENSORES,AUTOMOTRIZ,EN MOTORES D  E VEHICULOS NISSAN NAVARA YD25 / TODOS,NES
20,KITS DE CADENA DE DISTRIBUCIN,DY008//TK-TY008/DY008,10I01037,X8 UNIDADES ASI= 2 GUIAS DE CADENA /2 PIONES /1 CADENA /2 EMPAQUES DE PAPEL /1 TENSOR,AUTOMOTRIZ, TOYOTA HILUX 2RZ/PRADO 3 PTAS / TODOS,NES
20,KITS DE CADENA DE DISTRIBUCIN,DS010//TK-NS010/DS010,10I01038,X16 UNIDADES ASI= 2 GUIAS DE CADENA /4 PIONES /2 CADENAS /2   TUERCAS /2 ARANDELAS /1 RETEN /1 EMPAQUE DE PAPEL /2 TENSORES,AUTOMOTRIZ, NISSAN D22-FRONTIER KA24DE (16 VAL) / TODOS,NES
80,KITS DE CADENA DE DISTRIBUCIN,C035S/DV035/TK-CV035/C035S,CODIGO04I012068,X7 UNIDADES ASI= 2 GUIAS DE CADENA /3 PIONES /1 CADENA /1TENSOR,AUTOMOTRIZ, CHEVROLET SPARK GT / TODOS,NES
20,KITS DE CADENA DE DISTRIBUCIN,DP011//TK-CV030/DP011,CODIGO04I012847,X21 UNIDADES ASI= 6 GUIAS DE CADENA /3 PIONES /3 CADENAS /6 TURCAS /3 TENSORES,AUTOMOTRIZ, CHEVROLET CAPTIVA 3.0/3.2 /TODOS,NES
20,KITS DE CADENA DE DISTRIBUCIN,DY009//TK-TY009/DY009,10I01042,X15 UNIDADES ASI= 5 GUIAS DE CADENA /2 PIONES /2 CADENAS /1 RETEN /3 EMPAQUES DE PAPEL /2 TENSORES,AUTOMOTRIZ, TOYOTA 3RZFE 4 RUNNER/PRADO / TODOS,NES
20,KITS DECADENA DE DISTRIBUCIN,DS005//TK-NS005/DS005,10I01040,X21 UNIDADES ASI= 4 GUIAS DE CADENA /4 PIONES /2 CADENAS /2 T0RNILLOS /2 ARANDELAS /3 RETENES /2 EMPAQUES DE PAPEL /2 TENSORES,AUTOMOTRIZ,EN MOTORES DE VEHIC  ULOS NISSAN SENTRA B13X/B14X/ALMERA N15 GA16 / TODOS,NES
30,KITS DE CADENADE DISTRIBUCIN,DY007//TK-TY007S/DY007,10I01043,X7 UNIDADES ASI= 2 GUIAS DE CADENA /3 PIONES /1 CADENA /1 TENSOR,AUTOMOTRIZ, TOYOTA COROLLA 00/ 1ZZ-FE / TODOS,NES
30,KITS DE CADENA DE DISTRIBUCIN,DY020//TK-TY020/DY020,10I01046X16,COMPUESTOX16 UNIDADES ASI= 6 GUIAS DE CADENA /4 PIONES /2 CADENAS /1 RETEN   /1 BUJE /2 TENSORES ,AUTOMOTRIZ, TOYOTA HILUX VIGO GAS. 2TR-FE / TODOS,NES
100,KITS DE CADENA DE DISTRIBUCIN,12680750/DV003-V/TK-CV003-VP/12680750,04I012683,X16 UNIDADES  ASI= 6 GUIAS DE CADENA /5PIONES /2 CADENAS /3 TENSOR ,AUTOMOTRIZ, CHEVROLET CAPTIVA 2.4 KCAD613 / TODOS,NES
20,KITS DE CADENA DE DISTRIBUCIN,DD021/DD021-FULL/TK-FD021-2/DD021,03I01898,X25 UNIDADES ASI= 6 GUIAS DE CADENA /7 PIONES /4 CADENAS / 2 TENSORES /2 TUERCAS /1 RETEN / 1 ARANDELA/ 2 TORNILLOS,AUTOMOTRIZ, FORD EXPLORER (21 PCS) / TODOS,NES
20,KITS DE CADENA DE DI STRIBUCIN,DD005-S//TK-FD005-S/DD005-S,03I01897,X10 UNIDADES ASI= 4 GUIAS DE CADENA /2 PIONES /2 CADENAS /2 TENSORES,AUTOMOTRIZ, FORD ESCAPE (10 PCS)/ TODOS,NES
100,KITS D E CADENA DE DISTRIBUCIN,K6018/DA009/TK-HY019S/K6018,06I013931,X7 UNIDADES ASI= 4 GUIAS DE CADENA /1 PION /1 CADENA /1 TENSOR,AUTOMOTRIZ, HYUNDAI GRAND I-10/KIA PICANTO ION 1.2 (TC2742FK) / TODOS,NES
50,KITS DECADENA DE DISTRIBUCIN,K6017/DH009/TK-HY009/K6017,06I013956,X6 UNIDADES ASI= 2 GUIAS DE CADENA /2 PIONES /1 CADENA /1 TENSOR,AUTOMOTRIZ, HYUNDAI I-25/KIA RIO  SPICE/CERATO FORTE/PRO/SELTOS 1.6 2021 / TODOS,NES
40,KITS DE CADENA DE DISTRIBUCIN,K6016/DY011-1/TK-HY011-1/K6016,06I013953,X8 UNIDADES ASI= 4 GUIAS DE CADENA /1 PION /2 CADENAS / 1 TENSOR,AUTOMOTRIZ, HYUNDAI TUCSON IX-35 2.0 GAS. (75035) (25001) / TODOS,NES
30,KITS DE CADENA DE DISTRIBUCIN,DZ027//TK-MZ027/DZ027,03I018100,X9 UNIDADESASI= 4 GUIAS DE CADENA /2 PIONES   /2 CADENAS /1 TENSOR,AUTOMOTRIZ, MAZDA 3/6 SKYACTIVE 2013/2020 / TODOS,NES
30,KITS DE CADENA DE DISTRIBUCIN,DZ028//TK-MZ028/DZ028,03I018101,X9 UNIDADES ASI= 4 GUIAS DE CA  DENA /2 PIONES /2 CADENAS /1 TENSOR,AUTOMOTRIZ,ENMOTORES DE VEHICULOS MAZDA 2 SKYACTIVE 2013/2020 / TODOS,NES
20,KITS DE CADENA DE DISTRIBUCIN,DZ029//TK-MZ029/DZ029,03I018102,X10 UNIDADES ASI=   5 GUIAS DE CADENA /2 PIONES /2 CADENAS /1 TENSOR,AUTOMOTRIZ, MAZDA CX-5 SKYACTIVE 2.5 2014/2020 / TODOS,NES
40,KITS DE CADENA DE DISTRIBUCIN,RD008//TK-RN008/RD008,01I011300,COMPUE   STO X12 UNIDADES ASI= 2 GUIAS DE CADENA /2 PIONES /1 CADENA /3 TUERCAS /3 T0RNILLOS /1 TENSOR,AUTOMOTRIZ, RENAULT NEW TRAFIC / TODOS,NES
40,KITS DE CADENA DE DISTRIBUCIN,RD002//TK-RN002/RD002,01I011301,X12 UNIDADES ASI= 2 GUIAS DE CADENA /2 PIONES /3TORNILLOS /3 TUERCAS /1 CADENA /1 TENSOR,AUTOMOTRIZ, RENAULT KOLEOS 2.0/TRAFIC II 2.0 / TODOS,NES
20,KITS DE CADENA DE DI STRIBUCIN,TD016-1//TK-TY016-1/TD016-1,10I01044,COMPUESTOX12 UNIDADES ASI= 4 GUIAS DE CADENA /5 PIONES /2 CADENAS /1 TENSOR,AUTOMOTRIZ, TOYOTA COROLLA 1.6 2ZRFE 07/2012 / TODOS,NES
20,KITS DE CADENA DE DISTRIBUCIN,TD016-3//TK-TY016-3/TD016-3,10I01045,X10 UNIDADES ASI= 4 GUIAS DE CADENA /3 PIONES /2 CADENAS /1 TENSOR,AUTOMOTRIZ, TOYOTA COROLLA 1.8 2ZRFAE 09-2014 / TODOS,MARCA=NES
20,KITS DE CADENA DE DISTRIBUCIN,TD021//TK-TY021/TD021,10I01047,X14 UNIDADES ASI= 4 GUIAS DE CADENA /4 PIONES /3 CADENAS /3 TENSORES,AUTOMOTRIZ, TOYOTA TXL/4RUNNER 4.0 1GR  -FEV6 / TODOS,NES
30,KITS DE CADENA DE DISTRIBUCIN,TK-SZ005/76533/TK-SZ005/TK-SZ005,04I012371,X5 UNIDADES ASI= 2 GUIAS DE CADENA /1 PION /1 CADENA /1 TENSOR,AUTOMOTRIZ, S UZUKI SWIFT 1.2/1.5 SX4 / TODOS,NES
80,KITS DE CADENA DE DISTRIBUCIN,K6013/75011/TK-HY017/K6013,06I013685,X4 UNIDADES ASI= 2 GUIAS DE CADENA /1 CADENA /1 TENSOR,AUTOMOTRIZ,EN MOTORES DE VEHICULO S KIA PICANTO ION 1.2 / TODOS,NES
